"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.065,-0.0330943817297677,-0.0762486813193095,NA,NA,NA,NA,NA,NA,"ZSB"
1.065,-0.0386218881422803,-0.0712318949255333,-0.0150632379637225,-0.0952014670471145,0.643112940853367,0.622358201017654,0.693590095943187,0.681734828995647,"DVDS"
1.066,-0.0327752084783444,-0.076572336331704,NA,NA,NA,NA,NA,NA,"ZSB"
1.066,-0.0383759338833066,-0.071472715152158,-0.0148217051449269,-0.0954459188897138,0.643240805868711,0.622202954642697,0.693675669794855,0.681616739752017,"DVDS"
1.067,-0.0324563742410315,-0.0768957139127952,NA,NA,NA,NA,NA,NA,"ZSB"
1.067,-0.0381352144777987,-0.0717310604650137,-0.014583434994901,-0.0957076502335219,0.643390190723159,0.622031505772255,0.693762566237269,0.681525405200958,"DVDS"
1.068,-0.0321378784363212,-0.077218814448689,NA,NA,NA,NA,NA,NA,"ZSB"
1.068,-0.037890471263184,-0.0719756535089749,-0.0143411994658271,-0.0959559756103424,0.6435436547482,0.621872267662397,0.693847921171372,0.681434126011384,"DVDS"
1.069,-0.0318197204840104,-0.0775416383246368,NA,NA,NA,NA,NA,NA,"ZSB"
1.069,-0.0376502046053334,-0.0722200305374046,-0.0141033346599156,-0.0962041038551012,0.643692697771141,0.621713127902518,0.693933158439922,0.681342902376475,"DVDS"
1.07,-0.0315018998051991,-0.0778641859250356,NA,NA,NA,NA,NA,NA,"ZSB"
1.07,-0.037410189478378,-0.0724641898456428,-0.0138656973336789,-0.0964520335154609,0.643841544636917,0.621554085636505,0.694018275482147,0.681251734115295,"DVDS"
1.071,-0.0311844158222837,-0.0781864576334358,NA,NA,NA,NA,NA,NA,"ZSB"
1.071,-0.0371704244117642,-0.072709823631477,-0.013628286338474,-0.0967014290957788,0.643990195335232,0.621395136778582,0.694104960410059,0.681160619746996,"DVDS"
1.072,-0.0308672679589569,-0.078508453832543,NA,NA,NA,NA,NA,NA,"ZSB"
1.072,-0.0369299737926008,-0.0729535702132471,-0.0133901845486666,-0.0969489829478592,0.644138640504469,0.621236289248641,0.694189859461888,0.681068614297069,"DVDS"
1.073,-0.0305504556401977,-0.0788301749042199,NA,NA,NA,NA,NA,NA,"ZSB"
1.073,-0.0367071217284648,-0.0732018956040806,-0.0131700307229338,-0.0972010541047975,0.644286890581009,0.621072733233161,0.694274628837242,0.680994012309474,"DVDS"
1.074,-0.030233978292279,-0.0791516212294874,NA,NA,NA,NA,NA,NA,"ZSB"
1.074,-0.036479754326144,-0.0734498199209579,-0.0129452251050104,-0.0974527612560649,0.644423499524436,0.620913999788264,0.694363819709222,0.68090325385058,"DVDS"
1.075,-0.0299178353427525,-0.0794727931885298,NA,NA,NA,NA,NA,NA,"ZSB"
1.075,-0.0362644315296536,-0.0736786719658733,-0.0127331376681414,-0.0976850456754026,0.644548122492149,0.620755354530116,0.694434026495989,0.680812554021802,"DVDS"
1.076,-0.0296020262204553,-0.079793691160699,NA,NA,NA,NA,NA,NA,"ZSB"
1.076,-0.036026572309514,-0.0739193598672267,-0.0124975360326632,-0.0979295703321848,0.644695335183015,0.620596797212843,0.69451615708007,0.680721907492529,"DVDS"
1.077,-0.0292865503554958,-0.0801143155245134,NA,NA,NA,NA,NA,NA,"ZSB"
1.077,-0.0357977070276152,-0.0741815558159614,-0.0122718973876525,-0.0981944926676083,0.644842352966904,0.620438336272549,0.69461989208851,0.680640059994519,"DVDS"
1.078,-0.0289714071792607,-0.0804346666576608,NA,NA,NA,NA,NA,NA,"ZSB"
1.078,-0.0355633629792106,-0.074401879376993,-0.0120407178264961,-0.0984174104809252,0.644997160082877,0.620302282076888,0.694704161453881,0.680560523062088,"DVDS"
1.079,-0.0286565961244068,-0.0807547449370093,NA,NA,NA,NA,NA,NA,"ZSB"
1.079,-0.0353305932684261,-0.0746463657275397,-0.0118102403730104,-0.0986655653531055,0.645143886951067,0.620137403411066,0.694783769138606,0.680474480219494,"DVDS"
1.08,-0.0283421166248558,-0.0810745507385972,NA,NA,NA,NA,NA,NA,"ZSB"
1.08,-0.035093249956723,-0.0748883500996213,-0.0115753744992403,-0.098911461766656,0.645290422643709,0.619979400141812,0.694867750241433,0.680383672600432,"DVDS"
