"Lambda","upper","lower","upper.CI","lower.CI","upper.1","lower.1","upper.0","lower.0","Method"
1.019,-0.0500067523492622,-0.0597410906981061,-0.0263067026173124,-0.0835562456128541,0.6360015807772,0.629821392422922,0.689562483121028,0.686008333126462,"DVDS"
1.02,-0.0478809912311386,-0.0614491489165783,NA,NA,NA,NA,NA,NA,"ZSB"
1.02,-0.0497517310643292,-0.059993345645471,-0.0260545868729585,-0.0838115951823996,0.636161732979668,0.629659472017055,0.689652817662526,0.685913464043997,"DVDS"
1.021,-0.0475460558923716,-0.061785585783173,NA,NA,NA,NA,NA,NA,"ZSB"
1.021,-0.0494969813942936,-0.0602453699248957,-0.0258027157916129,-0.0840667355085626,0.636321666833954,0.629497652571091,0.689743022495987,0.685818648228247,"DVDS"
1.022,-0.0472114870456025,-0.0621217270396012,NA,NA,NA,NA,NA,NA,"ZSB"
1.022,-0.049242504080004,-0.060497163725883,-0.0255510901514504,-0.0843216663793253,0.636481381605715,0.629335930373248,0.689833094099131,0.685723885685719,"DVDS"
1.023,-0.0468772840469877,-0.0624575731133814,NA,NA,NA,NA,NA,NA,"ZSB"
1.023,-0.0489882997009586,-0.0607487309609979,-0.0252997106667506,-0.0845763918435953,0.636640877425402,0.629174305635674,0.689923036596672,0.685629177126361,"DVDS"
1.024,-0.0465434462541541,-0.0627931244310377,NA,NA,NA,NA,NA,NA,"ZSB"
1.024,-0.0487319044328443,-0.0610000745229065,-0.0250462181579203,-0.0848309147180752,0.636800894747875,0.629012776177561,0.690012850700467,0.685532799180719,"DVDS"
1.025,-0.0462099730261995,-0.0631283814180909,NA,NA,NA,NA,NA,NA,"ZSB"
1.025,-0.0484781415020791,-0.0612511941909019,-0.0247952309711522,-0.0850852347359568,0.636959985342108,0.628851341623634,0.690102535814536,0.685438126844187,"DVDS"
1.026,-0.0458768637236867,-0.0634633444990774,NA,NA,NA,NA,NA,NA,"ZSB"
1.026,-0.0482223752146565,-0.061499139666695,-0.0245422851280492,-0.0853363328945978,0.637118859211386,0.628692952316166,0.690192091982861,0.685341234426043,"DVDS"
1.027,-0.0455441177086384,-0.0637980140975417,NA,NA,NA,NA,NA,NA,"ZSB"
